name,lat,lng
Lagos,6.454066,3.394673
Kano,12.002381,8.51316
Ibadan,7.377562,3.905907
Abuja,9.083333,7.533333
Kaduna,10.526413,7.438795
Benin City,6.338153,5.625749
Ikare,7.525913,5.753417
Port Harcourt,4.777423,7.013404
Ogbomoso,8.133725,4.240144
Aba,5.106576,7.366667
Maiduguri,11.846924,13.157122
Zaria,11.078945,7.710359
Warri,5.51737,5.750064
Jos,9.92849,8.892118
Ilorin,8.496642,4.542143
Oyo,7.852575,3.931249
Sokoto,13.048025,5.214285
Enugu,6.441321,7.498834
Abeokuta,7.15571,3.345086
Uyo,5.033333,7.92657
Awka,6.21269,7.071986
Ile-Ife,7.482405,4.560324
Calabar,4.958931,8.32695
Ado-Ekiti,7.623289,5.22087
Katsina,12.990823,7.601769
Akure,7.25256,5.193118
Osogbo,7.771045,4.556979
Bauchi,10.310321,9.843883
Mele,5.889152,5.701355
Makurdi North,7.7493,8.5508
Minna,9.615235,6.54776
Owo,7.196195,5.586806
Gombe,10.28969,11.167288
Umuahia,5.524913,7.494613
Ondo,7.093165,4.835277
Damaturu,11.746968,11.960826
Iwo,7.635268,4.181556
Gusau,12.17024,6.664116
Mubi,10.268585,13.267013
Owerri,5.483626,7.033248
Ijebu-Ode,6.819444,3.917311
Funtua,11.523505,7.311744
Bida,9.080442,6.009902
Lafia,8.493897,8.515316
Gashua,12.873976,11.040568
Buzawa,11.545362,13.684518
Jalingo,8.893668,11.359596
Nsukka,6.856543,7.385977
Nguru,12.876952,10.455361
Birnin Kebbi,12.453889,4.1975
Azare,11.674783,10.190687
Kontagora,10.403189,5.470797
Iseyin,7.97022,3.596256
Yola,9.208394,12.481464
Biu,10.612854,12.194579
Wukari,7.871393,9.77786
Potiskum,11.713909,11.081077
Keffi,8.84651,7.873539
Numan,9.463742,12.03062
Idah,7.113446,6.73866
Onitsha,6.149779,6.78569
Otukpo,7.193963,8.134556
Lokoja,7.796882,6.740481
Kumo,10.048067,11.210555
Opobo,4.513882,7.537941
Koko,11.421544,4.516867
Dutse,11.75618,9.338959
Orlu,5.795645,7.035126
Kankara,11.931137,7.411149
Gwagwalada,8.943423,7.08165
Kebbe,12.128615,4.73433
Keana,8.147244,8.796008
Gbajimba,7.820399,8.859545
Ikot Ekpene,5.18194,7.714812
Ririwai,10.74025,8.741285
Kabba,7.827192,6.075021
Darazo,10.999201,10.410618
Issele-Uku,6.315839,6.47599
Makarfi,11.377342,7.880977
Gombi,10.167556,12.736843
Utu Etim Ekpo,5.004848,7.610283
Katcha,8.760758,6.312003
Igbara-Oke,7.411719,5.058054
Garun Malam,11.685659,8.369856
Hong,10.233045,12.928052
Ikotun,6.544333,3.263789
Nkwerre,5.759175,7.103836
Mafa,11.924171,13.600656
Nasko,10.495389,4.899036
Festac Town,6.469698,3.282988
Nguzu Edda,5.755433,7.817206
Dukku,10.823794,10.772211
Illela,13.730642,5.297772
Effraya,5.859256,8.723006
Isinweke,5.620478,7.349854
Kiri Kasamma,12.692734,10.254557
Ugba,7.506998,9.348042
Obiozara,6.04644,7.772727
Gwoza,11.083125,13.695948
Mashegu,9.972126,5.778858
Yelwa,10.835048,4.742439
Giwa,11.315678,7.44957
Imeko,7.448876,2.842887
Iyara,7.843247,5.970615
Umundugba,5.675968,7.071842
Fugar,7.090761,6.498283
Garaku,8.847168,8.130211
Agenebode,7.105121,6.69381
Jimeta,9.27949,12.458185
Oghara,5.935541,5.666096
Kachia,9.873417,7.95407
Awgu,6.072778,7.477386
Osisioma,5.159795,7.322346
Agege,6.615632,3.333369
Batsari,12.755508,7.248088
Angware,9.991051,9.108105
Iragbiji,7.903998,4.687045
Ugep,5.80865,8.080976
Ughelli,5.489555,6.004069
Wurno,13.290475,5.423729
Bogoro,9.669044,9.605275
Mabudi,8.730372,9.785124
Abakaliki,6.324851,8.11368
Abak,4.982357,7.789217
Kiru,11.702098,8.134807
Jamaâ€™are,11.669795,9.927996
Orerokpe,5.637471,5.890126
Uquo,4.658319,8.058684
Song,9.826747,12.623801
Odeda,7.232508,3.528193
Afor-Oru,5.541103,7.268447
Kaura Namoda,12.593715,6.586484
Lissam,7.196098,10.046204
Ribah,11.396367,5.486311
Ojota,6.578063,3.386858
Anka,12.113466,5.926809
Gamawa,12.133786,10.53785
Gamboru,12.372995,14.206903
Okene,7.551219,6.23589
Omuo-Ekiti,7.759144,5.722496
Lamurde,9.608162,11.793151
Fika,11.286744,11.307724
Tsafe,11.957746,6.920832
Ugbodo,6.511548,8.129841
Iyana-Ofa,7.500427,4.081036
Okpoga,7.039108,7.812254
Ogbere,6.739476,4.161021
Sule Tankarkar,12.666861,9.228278
Eyofin,4.751596,8.230556
Ifon,7.859925,4.476211
Ifetedo,7.18419,4.70046
Isa,13.200659,6.404873
Karu,9.009432,7.661472
Kafin Hausa,12.239329,9.911054
Albasu,11.67403,9.140586
Goronyo,13.442258,5.672339
Birniwa,12.7907,10.236144
Marte,12.365027,13.830184
Malumfashi,11.789346,7.620612
Shelleng,9.896473,12.005717
Ikoyi,6.452539,3.435841
Ikoyi-Ile,8.2444,4.171807
Lapai,9.044385,6.570887
Ehor,6.615495,5.982379
Abonnema,4.731714,6.772234
Jobele,7.763003,3.919348
Riyom,9.636807,8.756944
Odo-Ere,8.250575,5.549792
Kaltungo,9.81998,11.308706
Otu,8.206504,3.407355
Obiaruku,5.846717,6.152899
Afuze,6.969454,6.042536
Umumma,5.756899,6.946129
Akpafa,7.471923,6.149787
Sagbama,5.159147,6.196661
Kumbotso,11.890015,8.502998
Ingawa,12.641378,8.051623
Abagana,6.190311,6.993566
Kaita,13.083461,7.740916
Saminaka,10.412266,8.687477
Hunkuyi,11.266796,7.649155
Anaku,6.468752,6.928928
Ijebu-Jesa,7.682671,4.814356
Guri,12.728102,10.419886
Lessel,7.127287,9.019813
Vandeikya,6.784806,9.067989
Billiri,9.890243,11.217938
Okopedi,4.849179,8.125642
Afaha Offiong,4.862263,7.906263
Odukpani,5.133746,8.338144
Nung Udoe,4.916569,7.96314
Ozubulu,5.95753,6.853046
Yusufari,13.066106,11.173478
Garki,12.434558,9.190283
Sapele,5.894053,5.67666
Rijau,11.103893,5.255563
Besse,11.266757,4.431145
Talata Mafara,12.568411,6.062246
Talasse,9.968433,11.679454
Ore,6.747164,4.876103
Okoroete,4.540765,7.748579
Shanono,12.051536,7.992
Jada,8.756817,12.155366
Rabah,13.122573,5.507616
Gembu,6.719209,11.253517
Safana,12.410754,7.414556
Dekina,7.689671,7.043802
Ikeja,6.596506,3.342052
Ode-Irele,6.494184,4.870359
Urualla,5.85397,7.099064
Sokoto,13.062695,5.243225
Agbor,6.253748,6.194201
Kurfi,12.6663,7.484779
Ankpa,7.402485,7.631959
Gubio,12.497488,12.780888
Ibi,8.181216,9.744305
Baap,8.943205,9.241258
Ilaro,6.889011,3.014162
Ise-Ekiti,7.464778,5.423328
Burutu,5.353283,5.508265
Nasarawa Egon,8.71226,8.540598
Ungogo,12.09171,8.495307
Koko,6.000843,5.455225
Oka,7.460121,5.801743
Ogaminana,7.593826,6.217976
Iwere-Ile,7.999191,3.088266
Ahoada,5.082805,6.649813
Bunkure,11.699236,8.541266
Kunchi,12.502601,8.27092
Akwanga,8.910769,8.406552
Igbo-Ora,7.433834,3.287879
Bama,11.521339,13.689524
Bajoga,10.851518,11.431689
Ganye,8.434972,12.051073
Rimi,12.850298,7.709745
Deba,10.211867,11.387101
Efon-Alaaye,7.656495,4.922354
Effurun,5.556294,5.784591
Itas,11.857505,9.963943
Mopa,8.103872,5.892798
Takum,7.255323,9.985512
Aboh,5.475689,7.271606
Eruwa,7.53365,3.41796
Aboh,5.547815,6.525879
Fufore,9.221748,12.649747
Fufu,8.448382,4.720768
Adikpo,6.890017,9.23351
Mutum Biyu,8.641381,10.773549
Odoro Ikpe,5.358349,7.751844
Kafin Madaki,10.688558,9.760513
Kagara,10.186623,6.254852
Dambatta,12.434997,8.515314
Damboa,11.155338,12.75638
Omoba,5.242684,7.406232
Mani,12.854262,7.875261
Isua,7.453609,5.910472
Babura,12.77256,9.015251
Ukpor,5.942113,6.929313
Owode,6.94851,3.505605
Mgbidi,5.732361,6.888693
Misau,11.313699,10.466637
Toto,8.387596,7.077511
Ijero-Ekiti,7.815138,5.067162
Aliero,12.288353,4.471391
Mangu,9.520595,9.097695
Iperindo,7.50119,4.824773
Charanchi,12.671545,7.729292
Ndeaboh,6.034054,7.568428
Igbekebo,6.355206,4.86221
Gulak,10.805298,13.458241
Langtang,9.141639,9.791007
Bindawa,12.669875,7.808654
Dapchi,12.495362,11.499775
Ikot Ibritam,4.811712,7.614012
Shendam,8.878659,9.534645
Iloffa,8.093428,5.142327
Ilobu,7.84036,4.48557
Ipokia,6.524989,2.842465
Gwiwa,12.781693,8.337224
Obagaji,7.89169,7.909384
Asaba,6.198474,6.727431
Ugwolawo,7.236723,6.92302
Nto Edino,5.25704,7.575693
Kura,11.772319,8.426307
Sabuwa,11.173722,7.121127
Kankia,12.546366,7.822544
Wara,10.228844,4.623629
Agwara,10.706111,4.581254
Oke-Oyi,8.582635,4.716223
Gboko,7.322755,9.001078
Apomu,7.35156,4.183354
Bagwai,12.157704,8.1358
Damagum,11.678237,11.335174
Iresa-Adu,8.087473,4.39264
Sankwala,6.547535,9.222584
Ilawe-Ekiti,7.598812,5.104698
Bode Osi,7.751031,4.229796
Balle,13.470286,4.681189
Emuoha,4.883996,6.860104
